deadline,reliability,duty,ris_tiles,delivered,energy_src,energy_dst,soc_src,soc_dst,delivery_time,fec_overhead,snr_avg
1,0.7,0.05,16,1,6.15877,6.16,0.615877,0.616,0.235862,1,0
1,0.8,0.05,16,1,6.15877,6.16,0.615877,0.616,0.232894,1,0
1,0.9,0.05,16,1,6.15877,6.16,0.615877,0.616,0.249341,1,0
1,0.95,0.05,16,1,6.15877,6.16,0.615877,0.616,0.279649,1,0
1,0.99,0.05,16,1,6.15877,6.16,0.615877,0.616,0.245951,1,0
5,0.7,0.05,16,1,6.15877,6.16,0.615877,0.616,0.250624,1,0
5,0.8,0.05,16,1,6.15877,6.16,0.615877,0.616,0.138966,1,0
5,0.9,0.05,16,1,6.15877,6.16,0.615877,0.616,0.155487,1,0
5,0.95,0.05,16,1,6.15877,6.16,0.615877,0.616,0.169065,1,0
5,0.99,0.05,16,1,6.15877,6.16,0.615877,0.616,0.125937,1,0
10,0.7,0.05,16,1,6.15877,6.16,0.615877,0.616,0.140447,1,0
10,0.8,0.05,16,1,6.15877,6.16,0.615877,0.616,0.140231,1,0
10,0.9,0.05,16,1,6.15877,6.16,0.615877,0.616,0.152992,1,0
10,0.95,0.05,16,1,6.15877,6.16,0.615877,0.616,0.123434,1,0
10,0.99,0.05,16,1,6.15877,6.16,0.615877,0.616,0.154439,1,0
20,0.7,0.05,16,1,6.15877,6.16,0.615877,0.616,0.123515,1,0
20,0.8,0.05,16,1,6.15877,6.16,0.615877,0.616,0.153407,1,0
20,0.9,0.05,16,1,6.15877,6.16,0.615877,0.616,0.169856,1,0
20,0.95,0.05,16,1,6.15877,6.16,0.615877,0.616,0.124532,1,0
20,0.99,0.05,16,1,6.15877,6.16,0.615877,0.616,0.139313,1,0
30,0.7,0.05,16,1,6.15877,6.16,0.615877,0.616,0.171516,1,0
30,0.8,0.05,16,1,6.15877,6.16,0.615877,0.616,0.13781,1,0
30,0.9,0.05,16,1,6.15877,6.16,0.615877,0.616,0.125187,1,0
30,0.95,0.05,16,1,6.15877,6.16,0.615877,0.616,0.141955,1,0
30,0.99,0.05,16,1,6.15877,6.16,0.615877,0.616,0.156358,1,0
10,0.95,0.01,16,1,6.15877,6.16,0.615877,0.616,0.155195,1,0
10,0.95,0.05,16,1,6.15877,6.16,0.615877,0.616,0.141555,1,0
10,0.95,0.1,16,1,6.15877,6.16,0.615877,0.616,0.138633,1,0
10,0.95,0.2,16,1,6.15877,6.16,0.615877,0.616,0.141035,1,0
10,0.95,0.3,16,1,6.15877,6.16,0.615877,0.616,0.123506,1,0
10,0.95,0.05,0,1,6.15877,6.16,0.615877,0.616,0.139299,1,0
10,0.95,0.05,4,1,6.15877,6.16,0.615877,0.616,0.140444,1,0
10,0.95,0.05,8,1,6.15877,6.16,0.615877,0.616,0.140797,1,0
10,0.95,0.05,16,1,6.15877,6.16,0.615877,0.616,0.169628,1,0
10,0.95,0.05,24,1,6.15877,6.16,0.615877,0.616,0.12379,1,0
10,0.95,0.05,32,1,6.15877,6.16,0.615877,0.616,0.154254,1,0
10,0.95,0.05,16,1,6.15877,6.16,0.615877,0.616,0.0927664,1,0
10,0.95,0.05,16,1,6.15877,6.16,0.615877,0.616,0.125054,1,0
10,0.95,0.05,16,1,6.15877,6.16,0.615877,0.616,0.140746,1,0
10,0.95,0.05,16,1,6.15877,6.16,0.615877,0.616,0.115723,1,0
10,0.95,0.05,16,1,6.15877,6.16,0.615877,0.616,0.140316,1,0
10,0.95,0.05,16,1,6.15877,6.16,0.615877,0.616,0.145855,1,0
